^:<name=mazusanzijin footnote=ck>	note
1.扉	門板。
1.烏鵲	一種鳥名。
1.黃鵠	一種鳥名。
1.陶嬰	人名魯門之女。
1.禮宗	人尊稱其節。
1.楚貞姜	楚國國王夫人之名。
1.束髮封	以繩縛髮、以帛封之
1.賈直	人名。
1.卒	死。
1.墬崖	跳下深坑絕壁。
1.楚	楚國。
1.貞姬	吳王尊重其守節有義之號。
1.蓆草業	以草織蓆為業，以營生活之計。
1.懷	懷念。
1.清	人名。
1.巴	地名。
1.清風嶺	在浙江紹興府嵊縣。
1.斑	斑點。
1.崩城	城壁崩倒，
1.詠	唱，吟詠。
1.柏舟	人名，以人名為題詩。
1.託	寄託。
1.磨笄	地名。
1.效	學也。
1.菩薩	梵語。菩提薩埵之簡稱，位次於佛，菩提者覺之義，薩埵者眾生之義，謂既能自覺本性，又能普度眾生也，
1.賢儒	謂儒中之賢者。
1.華胥	國土之名。
1.上帝	玉帝之尊稱。
1.仙妃	仙女。
1.先哲	古之先賢。
1.人師	為人之模範。
1.此	指忠孝廉節四篇。
1.三台星	台字作胎宣讀，三台星，是上台，中台，下台、之三星。
1.北斗魁	亦是北斗七星。
1.列	次序並列。
1.三尸	說太上感應篇云：有三尸神在人身中，分別善惡。計錄是非。
1.天曹	天界辦事的地方，
1.褒	獎。
1.貶	罰。
1.千里眼	聖母身邊的兩個大將。
1.查探	調查，探聽，
1.詳悉	詳細，知悉。
1.十八獄	陰曹地府，設有十八層地獄，裡面所懲罰的鬼魂，都是那些以前在陽世為人時，行兇作惡的人，死後才被打入十八層地獄的。
1.陰騭文	文昌帝君所著作之經文，又叫「丹桂籍」。
1.感應篇	太上老君著作之警世文。
1.正法規	正道規條。
1.首淫痴	天下萬惡，最大的罪孽，就是淫痴。
1.孝為先	百善之行為，推孝為先。
1.洪水	大水。
1.頤	壽命百歲曰期頤。北斗七星之中，其中之玉衡星，專司人門性命的星君。因此有人拜北斗，祈求增加壽命。
1.嗣	後嗣。
1.血污池	地府囚禁罪魂之所。
1.天堂	極樂世界
1.九祖	九世之祖先，
1.䰬	無頭狂鬼，
1.𩳓	惡鬼。
1.保鄉里	說聖母尚未得道時，就已能用出陽神的法力，出外救人，把保衛鄉里的工作視為重任。
1.功德大	聖母經之功德力大。
1.佈	廣佈。
1.施	濟。
1.甘露	真寶貴之露。
1.法雨	以法比雨之意。
1.真言	咒語。
1.乾隆	清朝之乾隆君。
1.禪師	和尚。
1.淨土寺	廟名。
1.術	法術，
1.乩	桃乩。
1.跡	事跡。
1.一經	指一卷聖母經。
